location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
东盟商务区,青秀区,保利21世家,,235万,3室2厅1厨2卫,低楼层 (共24层),115.82㎡,平层,暂无数据,混合结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-11-17,,70年,暂无数据,暂无数据,商品房,业主诚心出售  东盟商务区  精装修 交通方便,https://nn.lianjia.com/ershoufang/105103381894.html,2020-01-14 23:19:04
白沙星光,江南区,万达广场,,41万,1室0厅0厨0卫,中楼层 (共30层),40㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,三梯二十四户,暂无数据,南,2019-08-29,,50年,暂无数据,暂无数据,商品房,万达广场  单间  电梯  星光大道,https://nn.lianjia.com/ershoufang/105102936175.html,2020-01-14 23:19:05
金湖,青秀区,世纪商都,,150万,1室0厅0厨1卫,中楼层 (共18层),50㎡,平层,暂无数据,砖混结构,板塔结合,其他,暂无数据,有,四梯二十二户,暂无数据,南 北,2019-11-27,,70年,暂无数据,暂无数据,商品房,世纪商都    金湖广场地铁口   交通便利,https://nn.lianjia.com/ershoufang/105103444535.html,2020-01-14 23:19:06
琅东,青秀区,中房翡翠园一期,,138万,3室1厅1厨1卫,低楼层 (共11层),78㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,暂无数据,一梯四户,暂无数据,南,2019-11-27,,70年,暂无数据,暂无数据,商品房,红本在手    交通便利    业主诚心出售,https://nn.lianjia.com/ershoufang/105103443747.html,2020-01-14 23:19:06
朝阳,兴宁区,天成一品,,168万,3室1厅1厨2卫,低楼层 (共32层),130㎡,平层,暂无数据,框架结构,塔楼,其他,暂无数据,有,三梯十户,暂无数据,南,2019-12-18,,70年,暂无数据,暂无数据,商品房,天成一品 3室1厅 168万,https://nn.lianjia.com/ershoufang/105103568289.html,2020-01-14 23:19:07
金湖,青秀区,新城国际,,85万,2室2厅1厨2卫,中楼层 (共29层),67.52㎡,平层,暂无数据,框架结构,板塔结合,其他,暂无数据,有,三梯十八户,暂无数据,南,2019-12-03,,70年,暂无数据,暂无数据,商品房,户型明朗，采光充足，看房方便有钥匙,https://nn.lianjia.com/ershoufang/105103477798.html,2020-01-14 23:19:08
五象核心区,良庆区,云星钱隆首府,,236万,3室2厅1厨2卫,低楼层 (共28层),124.35㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2019-08-27,,70年,暂无数据,暂无数据,商品房,五象云星钱隆 三房两厅带装修带租约,https://nn.lianjia.com/ershoufang/105102925370.html,2020-01-14 23:19:10
五象文旅,邕宁区,万达茂·御峰国际,,145万,3室2厅1厨1卫,中楼层 (共48层),102㎡,平层,暂无数据,框架结构,塔楼,毛坯,暂无数据,有,两梯四户,暂无数据,南 北,2019-07-13,,70年,暂无数据,暂无数据,商品房,2016年交房，房龄新，无遮挡，交通便利。,https://nn.lianjia.com/ershoufang/105102679974.html,2020-01-14 23:19:10
金湖,青秀区,汇春名庭北区,,86万,2室2厅1厨1卫,中楼层 (共12层),70㎡,平层,暂无数据,未知结构,暂无数据,精装,暂无数据,暂无数据,一梯四户,暂无数据,东南,2019-12-13,,70年,暂无数据,暂无数据,商品房,金湖广场地铁口，闹中取静适合居住,https://nn.lianjia.com/ershoufang/105103538916.html,2020-01-14 23:19:11
五象核心区,良庆区,盛科城,,313万,4室2厅1厨2卫,中楼层 (共31层),136.45㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,三梯四户,暂无数据,南 北,2019-10-23,,70年,暂无数据,暂无数据,商品房,五象总部基地盛科城 四房两厅两卫 高楼层 户型好,https://nn.lianjia.com/ershoufang/105103238063.html,2020-01-14 23:19:12
大沙田,良庆区,恒大绿洲,,120万,3室2厅1厨2卫,中楼层 (共17层),110㎡,平层,暂无数据,钢混结构,塔楼,其他,暂无数据,有,两梯三户,暂无数据,东南,2019-12-13,,70年,暂无数据,暂无数据,商品房,恒大绿洲，大阳台三房，居住舒适度高，通风采光好,https://nn.lianjia.com/ershoufang/105103538660.html,2020-01-14 23:19:12
