communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
心圆东苑,浦东,1室1厅0厨1卫,中楼层 (共15层),58.97㎡,板楼,南,精装,两梯四户,2019-12-17,暂无数据,暂无数据,273万元,川沙
九龙仓滨江壹十八,浦东,5室2厅1厨1卫,中楼层 (共18层),257㎡,板楼,南,精装,两梯两户,2019-08-10,2018-10-25,未满两年,2750万元,塘桥
绿地新干线,闵行,3室1厅1厨1卫,高楼层 (共6层),81.89㎡,板楼,南,精装,一梯两户,2019-04-18,2008-05-25,满五年,299万元,颛桥
江南清漪园,浦东,2室2厅1厨1卫,高楼层 (共6层),77.38㎡,板楼,南,精装,一梯两户,2019-11-05,2016-05-08,满两年,249万元,惠南
惠康苑,浦东,2室1厅1厨1卫,低楼层 (共18层),78.57㎡,板楼,南,精装,两梯四户,2019-10-16,2015-08-25,满两年,185万元,惠南
中星海上名豪苑(四期),嘉定,2室2厅1厨1卫,低楼层 (共18层),87.82㎡,板楼,南 北,精装,两梯三户,2019-01-14,2016-09-14,满两年,405万元,江桥
顺馨佳园,浦东,3室2厅1厨2卫,高楼层 (共6层),120.84㎡,板楼,南 北,简装,一梯两户,2019-05-23,2015-10-08,满两年,495万元,川沙
园西小区,浦东,3室1厅1厨1卫,低楼层 (共6层),66.45㎡,板楼,南,简装,一梯三户,2019-10-28,1988-05-01,满五年,265万元,川沙
金杨新村九街坊,浦东,2室1厅1厨1卫,高楼层 (共6层),57.04㎡,板楼,南 北,精装,一梯三户,2019-10-20,2005-04-18,满五年,275万元,金杨
幸福小镇,浦东,3室2厅1厨1卫,中楼层 (共6层),98㎡,板楼,南 北,简装,一梯两户,2019-10-11,2011-08-12,满五年,500万元,高行
静安四季苑,静安,3室2厅0厨2卫,低楼层 (共32层),154.98㎡,板楼,南,精装,两梯四户,2019-09-11,2006-09-01,满五年,1680万元,南京西路
合欢公寓,浦东,3室2厅1厨1卫,高楼层 (共6层),103.22㎡,板楼,南,简装,一梯两户,2019-09-01,2014-12-25,满两年,360万元,川沙
汇龙新城,黄浦,2室2厅1厨1卫,中楼层 (共32层),115.56㎡,板楼,南,精装,两梯三户,2019-07-10,2002-11-13,满五年,1068万元,五里桥
圣骊澳门苑,普陀,6室2厅1厨3卫,高楼层 (共17层),248.13㎡,板楼,南 北,精装,两梯两户,2019-10-23,2006-07-13,满五年,1620万元,长寿路
海上纳缇,金山,3室2厅1厨1卫,高楼层 (共8层),88.35㎡,板楼,南,精装,一梯两户,2019-07-26,2014-10-13,满五年,310万元,张堰
妙栏小区,浦东,2室2厅0厨1卫,高楼层 (共6层),74.38㎡,板楼,南,精装,一梯两户,2019-06-11,2012-08-07,满五年,295万元,川沙
惠康苑,浦东,2室1厅1厨1卫,高楼层 (共18层),79㎡,板楼,南,简装,两梯四户,2019-12-21,2015-04-16,满两年,190万元,惠南
